nameOfTheJournal,ISSN,libraryID
水产学报,1000-0615,核心库
水处理技术,1000-3770,扩展库
水动力学研究与进展. A 辑,1000-4874,扩展库
水科学进展,1001-6791,核心库
水力发电学报,1003-1243,核心库
水利水电科技进展,1006-7647,核心库
水利水运工程学报,1009-640X,扩展库
水利学报,0559-9350,核心库
水生生物学报,1000-3207,核心库
水生态学杂志,1674-3075,核心库
水土保持通报,1000-288X,扩展库
水土保持学报,1009-2242,核心库
水土保持研究,1005-3409,核心库
水文,1000-0852,扩展库
水文地质工程地质,1000-3665,核心库
水资源保护,1004-6933,扩展库
水资源与水工程学报,1672-643X,核心库
丝绸,1001-7003,核心库
四川大学学报.  医学版,1672-173X,核心库
四川大学学报.  自然科学版,0490-6756,扩展库
四川农业大学学报,1000-2650,扩展库
塑料,1001-9456,核心库
塑料工业,1005-5770,核心库
塑性工程学报,1007-2012,核心库
隧道建设（中英文）,2096-4498,核心库
太阳能学报,0254-0096,扩展库
探测与控制学报,1008-1194,扩展库
特种油气藏,1006-6535,核心库
天津大学学报.  自然科学与工程技术版,0493-2137,核心库
天然产物研究与开发,1001-6880,核心库
天然气地球科学,1672-1926,核心库
天然气工业,1000-0976,核心库
天文学报,0001-5245,核心库
天文学进展,1000-8349,核心库
天文研究与技术,1672-7673,扩展库
铁道工程学报,1006-2106,核心库
铁道科学与工程学报,1672-7029,扩展库
铁道学报,1001-8360,核心库
听力学及言语疾病杂志,1006-7299,核心库
通信学报,1000-436X,核心库
同济大学学报.  自然科学版,0253-374X,核心库
图学学报,2095-302X,扩展库
涂料工业,0253-4312,扩展库
土木工程学报,1000-131X,核心库
土木与环境工程学报（中英文）,2096-6717,扩展库
土壤,0253-9829,核心库
土壤通报,0564-3945,核心库
土壤学报,0564-3929,核心库
推进技术,1001-4055,核心库
微波学报,1005-6122,扩展库
微生物学报,0001-6209,核心库
微生物学通报,0253-2654,核心库
微生物学杂志,1005-7021,扩展库
微体古生物学报,1000-0674,核心库
卫生研究,1000-8020,核心库
无机材料学报,1000-324X,核心库
无机化学学报,1001-4861,扩展库
无机盐工业,1006-4990,扩展库
武汉大学学报.  工学版,1671-8844,核心库
武汉大学学报.  理学版,1671-8836,核心库
武汉大学学报.  信息科学版,1671-8860,核心库
物理化学学报,1000-6818,核心库
物理学报,1000-3290,核心库
西安电子科技大学学报,1001-2400,核心库
西安交通大学学报,0253-987X,核心库
西安交通大学学报.  医学版,1671-8259,核心库
西北大学学报.  自然科学版,1000-274X,核心库
西北地质,1009-6248,扩展库
西北工业大学学报,1000-2758,核心库
西北林学院学报,1001-7461,核心库
西北农林科技大学学报.  自然科学版,1671-9387,核心库
西北农业学报,1004-1389,核心库
西北植物学报,1000-4025,核心库
西部人居环境学刊,2095-6304,扩展库
西南大学学报.  自然科学版,1673-9868,扩展库
西南交通大学学报,0258-2724,核心库
西南农业学报,1001-4829,扩展库
西南石油大学学报.  自然科学版,1674-5086,扩展库
稀土,1004-0277,扩展库
稀有金属,0258-7076,核心库
稀有金属材料与工程,1002-185X,核心库
稀有金属与硬质合金,1004-0536,扩展库
系统仿真学报,1004-731X,核心库
系统工程,1001-4098,扩展库
系统工程理论与实践,1000-6788,核心库
系统工程学报,1000-5781,核心库
系统工程与电子技术,1001-506X,核心库
系统管理学报,1005-2542,核心库
系统科学与数学,1000-0577,核心库
细胞与分子免疫学杂志,1007-8738,扩展库
现代地质,1000-8527,核心库
